lamA thr
12830.0 0.97
12840.0 0.97
12850.0 0.97
12860.0 0.97
12870.0 0.97
12880.0 0.97
12890.0 0.97
12900.0 0.97
12910.0 0.97
12920.0 0.97
12930.0 0.97
12940.0 0.97
12950.0 0.97
12960.0 0.97
12970.0 0.97
12980.0 0.97
12990.0 0.97
13000.0 0.97
13010.0 0.97
13020.0 0.97
13030.0 0.97
13040.0 0.97
13050.0 0.97
13060.0 0.97
13070.0 0.97
13080.0 0.97
13090.0 0.97
13100.0 0.97
13110.0 0.97
13120.0 0.97
13130.0 0.97
13140.0 0.97
13150.0 0.97
13160.0 0.97
13170.0 0.97
13180.0 0.97
13190.0 0.97
13200.0 0.97
13210.0 0.97
13220.0 0.97
13230.0 0.97
13240.0 0.97
13250.0 0.97
13260.0 0.97
13270.0 0.97
13280.0 0.97
13290.0 0.97
13300.0 0.97
13310.0 0.97
13320.0 0.97
13330.0 0.97
13340.0 0.97
13350.0 0.97
13360.0 0.97
13370.0 0.97
13380.0 0.97
13390.0 0.97
13400.0 0.97
13410.0 0.97
13420.0 0.97
13430.0 0.97
13440.0 0.97
13450.0 0.97
13460.0 0.97
13470.0 0.97
13480.0 0.97
13490.0 0.97
13500.0 0.97
13510.0 0.97
13520.0 0.97
13530.0 0.97
13540.0 0.97
13550.0 0.97
13560.0 0.97
13570.0 0.97
13580.0 0.97
13590.0 0.97
13600.0 0.97
13610.0 0.97
13620.0 0.97
13630.0 0.97
13640.0 0.97
13650.0 0.97
13660.0 0.97
13670.0 0.97
13680.0 0.97
13690.0 0.97
13700.0 0.97
13710.0 0.97
13720.0 0.97
13730.0 0.97
13740.0 0.97
13750.0 0.97
13760.0 0.97
13770.0 0.97
13780.0 0.97
13790.0 0.97
13800.0 0.97
13810.0 0.97
13820.0 0.97
13830.0 0.97
13840.0 0.97
13850.0 0.97
13860.0 0.97
13870.0 0.97
13880.0 0.97
13890.0 0.97
13900.0 0.97
13910.0 0.97
13920.0 0.97
13930.0 0.97
13940.0 0.97
13950.0 0.97
13960.0 0.97
13970.0 0.97
13980.0 0.97
13990.0 0.97
14000.0 0.97
14010.0 0.97
14020.0 0.97
14030.0 0.97
14040.0 0.97
14050.0 0.97
14060.0 0.97
14070.0 0.97
14080.0 0.97
14090.0 0.97
14100.0 0.97
14110.0 0.97
14120.0 0.97
14130.0 0.97
14140.0 0.97
14150.0 0.97
14160.0 0.97
14170.0 0.97
14180.0 0.97
14190.0 0.97
14200.0 0.97
14210.0 0.97
14220.0 0.97
14230.0 0.97
14240.0 0.97
14250.0 0.97
14260.0 0.97
14270.0 0.97
14280.0 0.97
14290.0 0.97
14300.0 0.97
14310.0 0.97
14320.0 0.97
14330.0 0.97
14340.0 0.97
14350.0 0.97
14360.0 0.97
14370.0 0.97
14380.0 0.97
14390.0 0.97
14400.0 0.97
14410.0 0.97
14420.0 0.97
14430.0 0.97
14440.0 0.97
14450.0 0.97
14460.0 0.97
14470.0 0.97
14480.0 0.97
14490.0 0.97
14500.0 0.97
14510.0 0.97
14520.0 0.97
14530.0 0.97
14540.0 0.97
14550.0 0.97
14560.0 0.97
14570.0 0.97
14580.0 0.97
14590.0 0.97
14600.0 0.97
14610.0 0.97
14620.0 0.97
14630.0 0.97
14640.0 0.97
14650.0 0.97
14660.0 0.97
14670.0 0.97
14680.0 0.97
14690.0 0.97
14700.0 0.97
14710.0 0.97
14720.0 0.97
14730.0 0.97
14740.0 0.97
14750.0 0.97
14760.0 0.97
14770.0 0.97
14780.0 0.97
14790.0 0.97
14800.0 0.97
14810.0 0.97
14820.0 0.97
14830.0 0.97
14840.0 0.97
14850.0 0.97
14860.0 0.97
14870.0 0.97
14880.0 0.97
14890.0 0.97
14900.0 0.97
14910.0 0.97
14920.0 0.97
14930.0 0.97
14940.0 0.97
14950.0 0.97
14960.0 0.97
14970.0 0.97
14980.0 0.97
14990.0 0.97
15000.0 0.97
15010.0 0.97
15020.0 0.97
15030.0 0.97
15040.0 0.97
15050.0 0.97
15060.0 0.97
15070.0 0.97
15080.0 0.97
15090.0 0.97
15100.0 0.97
15110.0 0.97
15120.0 0.97
15130.0 0.97
15140.0 0.97
15150.0 0.97
15160.0 0.97
15170.0 0.97
15180.0 0.97
15190.0 0.97
15200.0 0.97
15210.0 0.97
15220.0 0.97
15230.0 0.97
15240.0 0.97
15250.0 0.97
15260.0 0.97
15270.0 0.97
15280.0 0.97
15290.0 0.97
15300.0 0.97
15310.0 0.97
15320.0 0.97
15330.0 0.97
15340.0 0.97
15350.0 0.97
15360.0 0.97
15370.0 0.97
15380.0 0.97
15390.0 0.97
15400.0 0.97
15410.0 0.97
15420.0 0.97
15430.0 0.97
15440.0 0.97
15450.0 0.97
15460.0 0.97
15470.0 0.97
15480.0 0.97
15490.0 0.97
15500.0 0.97
15510.0 0.97
15520.0 0.97
15530.0 0.97
15540.0 0.97
15550.0 0.97
15560.0 0.97
15570.0 0.97
15580.0 0.97
15590.0 0.97
15600.0 0.97
15610.0 0.97
15620.0 0.97
15630.0 0.97
15640.0 0.97
15650.0 0.97
15660.0 0.97
15670.0 0.97
15680.0 0.97
15690.0 0.97
15700.0 0.97
15710.0 0.97
15720.0 0.97
15730.0 0.97
15740.0 0.97
15750.0 0.97
15760.0 0.97
15770.0 0.97
15780.0 0.97
15790.0 0.97
15800.0 0.97
15810.0 0.97
15820.0 0.97
15830.0 0.97
15840.0 0.97
15850.0 0.97
15860.0 0.97
15870.0 0.97
15880.0 0.97
15890.0 0.97
15900.0 0.97
15910.0 0.97
15920.0 0.97
15930.0 0.97
15940.0 0.97
15950.0 0.97
15960.0 0.97
15970.0 0.97
15980.0 0.97
15990.0 0.97
16000.0 0.97
16010.0 0.97
16020.0 0.97
16030.0 0.97
16040.0 0.97
16050.0 0.97
16060.0 0.97
16070.0 0.97
16080.0 0.97
16090.0 0.97
16100.0 0.97
16110.0 0.97
16120.0 0.97
16130.0 0.97
16140.0 0.97
16150.0 0.97
16160.0 0.97
16170.0 0.97
16180.0 0.97
16190.0 0.97
16200.0 0.97
16210.0 0.97
16220.0 0.97
16230.0 0.97
16240.0 0.97
16250.0 0.97
16260.0 0.97
16270.0 0.97
16280.0 0.97
16290.0 0.97
16300.0 0.97
16310.0 0.97
16320.0 0.97
16330.0 0.97
16340.0 0.97
16350.0 0.97
16360.0 0.97
16370.0 0.97
16380.0 0.97
16390.0 0.97
16400.0 0.97
16410.0 0.97
16420.0 0.97
16430.0 0.97
16440.0 0.97
16450.0 0.97
16460.0 0.97
16470.0 0.97
16480.0 0.97
16490.0 0.97
16500.0 0.97
16510.0 0.97
16520.0 0.97
16530.0 0.97
16540.0 0.97
16550.0 0.97
16560.0 0.97
16570.0 0.97
16580.0 0.97
16590.0 0.97
16600.0 0.97
16610.0 0.97
16620.0 0.97
16630.0 0.97
16640.0 0.97
16650.0 0.97
16660.0 0.97
16670.0 0.97
16680.0 0.97
16690.0 0.97
16700.0 0.97
16710.0 0.97
16720.0 0.97
16730.0 0.97
16740.0 0.97
16750.0 0.97
16760.0 0.97
16770.0 0.97
16780.0 0.97
16790.0 0.97
16800.0 0.97
16810.0 0.97
16820.0 0.97
16830.0 0.97
16840.0 0.97
16850.0 0.97
16860.0 0.97
16870.0 0.97
16880.0 0.97
16890.0 0.97
16900.0 0.97
16910.0 0.97
16920.0 0.97
16930.0 0.97
16940.0 0.97
16950.0 0.97
16960.0 0.97
16970.0 0.97
16980.0 0.97
16990.0 0.97
17000.0 0.97
17010.0 0.97
17020.0 0.97
17030.0 0.97
17040.0 0.97
17050.0 0.97
17060.0 0.97
17070.0 0.97
17080.0 0.97
17090.0 0.97
17100.0 0.97
17110.0 0.97
17120.0 0.97
17130.0 0.97
17140.0 0.97
17150.0 0.97
17160.0 0.97
17170.0 0.97
17180.0 0.97
17190.0 0.97
17200.0 0.97
17210.0 0.97
17220.0 0.97
17230.0 0.97
17240.0 0.97
17250.0 0.97
17260.0 0.97
17270.0 0.97
17280.0 0.97
17290.0 0.97
17300.0 0.97
17310.0 0.97
17320.0 0.97
17330.0 0.97
17340.0 0.97
17350.0 0.97
17360.0 0.97
17370.0 0.97
17380.0 0.97
17390.0 0.97
17400.0 0.97
17410.0 0.97
17420.0 0.97
17430.0 0.97
17440.0 0.97
17450.0 0.97
17460.0 0.97
17470.0 0.97
17480.0 0.97
17490.0 0.97
17500.0 0.97
17510.0 0.97
17520.0 0.97
17530.0 0.97
17540.0 0.97
17550.0 0.97
17560.0 0.97
17570.0 0.97
17580.0 0.97
17590.0 0.97
17600.0 0.97
17610.0 0.97
17620.0 0.97
17630.0 0.97
17640.0 0.97
17650.0 0.97
17660.0 0.97
17670.0 0.97
17680.0 0.97
17690.0 0.97
17700.0 0.97
17710.0 0.97
17720.0 0.97
17730.0 0.97
17740.0 0.97
17750.0 0.97
17760.0 0.97
17770.0 0.97
17780.0 0.97
17790.0 0.97
17800.0 0.97
17810.0 0.97
17820.0 0.97
17830.0 0.97
17840.0 0.97
17850.0 0.97
17860.0 0.97
17870.0 0.97
17880.0 0.97
17890.0 0.97
17900.0 0.97
17910.0 0.97
17920.0 0.97
17930.0 0.97
17940.0 0.97
17950.0 0.97
17960.0 0.97
17970.0 0.97
17980.0 0.97
17990.0 0.97
18000.0 0.97
18010.0 0.97
18020.0 0.97
18030.0 0.97
18040.0 0.97
18050.0 0.97
18060.0 0.97
18070.0 0.97
18080.0 0.97
18090.0 0.97
18100.0 0.97
18110.0 0.97
18120.0 0.97
18130.0 0.97
18140.0 0.97
18150.0 0.97
18160.0 0.97
18170.0 0.97
18180.0 0.97
18190.0 0.97
18200.0 0.97
18210.0 0.97
18220.0 0.97
18230.0 0.97
18240.0 0.97
18250.0 0.97
18260.0 0.97
18270.0 0.97
18280.0 0.97
18290.0 0.97
18300.0 0.97
18310.0 0.97
18320.0 0.97
18330.0 0.97
18340.0 0.97
18350.0 0.97
18360.0 0.97
18370.0 0.97
18380.0 0.97
18390.0 0.97
18400.0 0.97
18410.0 0.97
18420.0 0.97
18430.0 0.97
18440.0 0.97
18450.0 0.97
18460.0 0.97
18470.0 0.97
18480.0 0.97
18490.0 0.97
