RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
178.989287,0.007745,23.181943893432617,23.181943893432617,23.181943893432617,23.181943893432617,23.181943893432617,23.181943893432617,23.181943893432617,1.0,1.0,1.0,1.0,0.0
178.992312,0.010781,23.193588256835938,23.193588256835938,23.193588256835938,23.193588256835938,23.193588256835938,23.193588256835938,23.193588256835938,1.0,1.0,1.0,1.0,0.0
178.921598,0.011228,23.659626007080078,23.659626007080078,23.659626007080078,23.659626007080078,23.659626007080078,23.659626007080078,23.659626007080078,1.0,1.0,1.0,1.0,0.0
178.900186,0.019305,24.15486717224121,24.15486717224121,24.15486717224121,24.15486717224121,24.15486717224121,24.15486717224121,24.15486717224121,1.0,1.0,1.0,1.0,0.0
178.963071,0.023311,23.61623764038086,23.61623764038086,23.61623764038086,23.61623764038086,23.61623764038086,23.61623764038086,23.61623764038086,1.0,1.0,1.0,1.0,0.0
178.937278,0.024264,23.630861282348633,23.630861282348633,23.630861282348633,23.630861282348633,23.630861282348633,23.630861282348633,23.630861282348633,1.0,1.0,1.0,1.0,0.0
178.96844,0.031382,24.078567504882812,24.078567504882812,24.078567504882812,24.078567504882812,24.078567504882812,24.078567504882812,24.078567504882812,1.0,1.0,1.0,1.0,0.0
178.973896,0.032318,23.702417373657227,23.702417373657227,23.702417373657227,23.702417373657227,23.702417373657227,23.702417373657227,23.702417373657227,1.0,1.0,1.0,1.0,0.0
178.986281,0.034131,23.539581298828125,23.539581298828125,23.539581298828125,23.539581298828125,23.539581298828125,23.539581298828125,23.539581298828125,1.0,1.0,1.0,1.0,0.0
178.930799,0.035674,23.301925659179688,23.301925659179688,23.301925659179688,23.301925659179688,23.301925659179688,23.301925659179688,23.301925659179688,1.0,1.0,1.0,1.0,0.0
178.993569,0.038003,23.610471725463867,23.610471725463867,23.610471725463867,23.610471725463867,23.610471725463867,23.610471725463867,23.610471725463867,1.0,1.0,1.0,1.0,0.0
178.928553,0.038252,23.424381256103516,23.424381256103516,23.424381256103516,23.424381256103516,23.424381256103516,23.424381256103516,23.424381256103516,1.0,1.0,1.0,1.0,0.0
178.991817,0.039705,23.46017837524414,23.46017837524414,23.46017837524414,23.46017837524414,23.46017837524414,23.46017837524414,23.46017837524414,1.0,1.0,1.0,1.0,0.0
178.99073,0.047338,23.677547454833984,23.677547454833984,23.677547454833984,23.677547454833984,23.677547454833984,23.677547454833984,23.677547454833984,1.0,1.0,1.0,1.0,0.0
178.958257,0.050577,23.61351203918457,23.61351203918457,23.61351203918457,23.61351203918457,23.61351203918457,23.61351203918457,23.61351203918457,1.0,1.0,1.0,1.0,0.0
178.999773,0.05156,23.582393646240234,23.582393646240234,23.582393646240234,23.582393646240234,23.582393646240234,23.582393646240234,23.582393646240234,1.0,1.0,1.0,1.0,0.0
178.908005,0.053707,24.073890686035156,24.073890686035156,24.073890686035156,24.073890686035156,24.073890686035156,24.073890686035156,24.073890686035156,1.0,1.0,1.0,1.0,0.0
178.961917,0.05574,24.327911376953125,24.327911376953125,24.327911376953125,24.327911376953125,24.327911376953125,24.327911376953125,24.327911376953125,1.0,1.0,1.0,1.0,0.0
178.929804,0.057713,23.457378387451172,23.457378387451172,23.457378387451172,23.457378387451172,23.457378387451172,23.457378387451172,23.457378387451172,1.0,1.0,1.0,1.0,0.0
178.971112,0.062085,23.307186126708984,23.307186126708984,23.307186126708984,23.307186126708984,23.307186126708984,23.307186126708984,23.307186126708984,1.0,1.0,1.0,1.0,0.0
178.943417,0.062702,24.221721649169922,24.221721649169922,24.221721649169922,24.221721649169922,24.221721649169922,24.221721649169922,24.221721649169922,1.0,1.0,1.0,1.0,0.0
178.996107,0.067292,23.343830108642578,23.343830108642578,23.343830108642578,23.343830108642578,23.343830108642578,23.343830108642578,23.343830108642578,1.0,1.0,1.0,1.0,0.0
178.916526,0.06877,23.32908821105957,23.32908821105957,23.32908821105957,23.32908821105957,23.32908821105957,23.32908821105957,23.32908821105957,1.0,1.0,1.0,1.0,0.0
178.971924,0.069959,23.914203643798828,23.914203643798828,23.914203643798828,23.914203643798828,23.914203643798828,23.914203643798828,23.914203643798828,1.0,1.0,1.0,1.0,0.0
178.912924,0.077254,23.20569610595703,23.20569610595703,23.20569610595703,23.20569610595703,23.20569610595703,23.20569610595703,23.20569610595703,1.0,1.0,1.0,1.0,0.0
178.904586,0.078317,24.09273338317871,24.09273338317871,24.09273338317871,24.09273338317871,24.09273338317871,24.09273338317871,24.09273338317871,1.0,1.0,1.0,1.0,0.0
178.97282,0.078357,23.64958953857422,23.64958953857422,23.64958953857422,23.64958953857422,23.64958953857422,23.64958953857422,23.64958953857422,1.0,1.0,1.0,1.0,0.0
178.97303,0.083474,23.649944305419922,23.649944305419922,23.649944305419922,23.649944305419922,23.649944305419922,23.649944305419922,23.649944305419922,1.0,1.0,1.0,1.0,0.0
178.932886,0.083498,23.362289428710938,23.362289428710938,23.362289428710938,23.362289428710938,23.362289428710938,23.362289428710938,23.362289428710938,1.0,1.0,1.0,1.0,0.0
178.981652,0.084384,23.680591583251953,23.680591583251953,23.680591583251953,23.680591583251953,23.680591583251953,23.680591583251953,23.680591583251953,1.0,1.0,1.0,1.0,0.0
