PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
DES,320.079642,-0.978209,0.0,17.1117267608643,16.6125888824463,16.4930381774902,16.4440841674805,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.084942,-0.971743,0.0,18.4099369049072,17.9858894348145,17.898180007934602,17.8613433837891,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.098446,-0.972728,0.0,19.1158828735352,18.523063659668,18.333215713501,18.2499732971191,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.102997,-0.975059,0.0,18.632236480712898,18.0488014221191,17.8536911010742,17.7538528442383,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.089129,-0.959717,0.0,17.4349269866943,17.0156574249268,16.9047870635986,16.8518753051758,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.090858,-0.9599840000000001,0.0,19.427560806274396,18.9959716796875,18.873081207275398,18.834857940673803,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.104974,-0.965659,0.0,18.2127914428711,17.8431644439697,17.7456207275391,17.7140102386475,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.00515,-0.923529,0.0,19.244670867919897,18.6555194854736,18.4873828887939,18.4108734130859,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.031323,-0.922165,0.0,16.7960243225098,16.1893177032471,16.026575088501,15.952455520629899,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.026445,-0.9179459999999999,0.0,18.136789321899396,16.6731204986572,15.8025779724121,15.9314184188843,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.030094,-0.907625,0.0,20.4632968902588,19.1789226531982,18.6666412353516,18.4053058624268,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.017736,-0.888582,0.0,16.3902549743652,15.980655670166,15.8813123703003,15.8462886810303,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.01440299999996,-0.867301,0.0,17.9449672698975,16.962598800659197,16.686082839965803,16.5360469818115,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.014897,-0.866167,0.0,18.9037132263184,18.0128555297852,17.7502136230469,17.5980854034424,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.026975,-0.866093,0.0,18.0569820404053,17.4924602508545,17.334283828735398,17.2758827209473,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.02474900000004,-0.865295,0.0,19.0750942230225,17.9689712524414,17.627908706665,17.462945938110398,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.042132,-0.924724,0.0,18.8929138183594,18.209438323974602,18.016471862793,17.924072265625,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.05062799999996,-0.931426,0.0,18.601243972778303,17.9921188354492,17.825487136840803,17.749708175659197,0.0,0.0,1.0,1.0,1.0,1.0,0.0
DES,320.05985400000003,-0.928066,0.0,19.8421421051025,19.351037979126,19.217027664184602,19.172571182251,0.0,0.0,1.0,1.0,1.0,1.0,0.0
