PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.991817,0.039705,25.148738861083984,23.75189208984375,23.600812911987305,23.982236862182617,23.24319076538086,22.69272232055664,22.64837074279785,10.0,1.0,1.0,1.0,0.0
cosmo,178.991113,0.041635,24.90806007385254,23.687313079833984,23.501556396484375,23.757741928100586,23.308273315429688,23.697511672973633,23.46446418762207,10.0,1.0,1.0,1.0,0.0
cosmo,178.999773,0.05156,24.253887176513672,23.78647232055664,23.901731491088867,23.489398956298828,23.19236183166504,22.777793884277344,22.516687393188477,10.0,1.0,1.0,1.0,0.0
cosmo,178.908005,0.053707,24.28440284729004,23.923931121826172,24.036195755004883,24.177541732788086,23.866729736328125,22.6768741607666,22.086545944213867,10.0,1.0,1.0,1.0,0.0
cosmo,178.929804,0.057713,23.350465774536133,23.269594192504883,23.309507369995117,22.915063858032227,22.60566520690918,22.60555648803711,22.42994499206543,10.0,1.0,1.0,1.0,0.0
cosmo,178.943417,0.062702,24.404150009155273,24.118581771850586,24.122039794921875,24.040098190307617,23.53485870361328,22.359214782714844,22.794328689575195,10.0,1.0,1.0,1.0,0.0
cosmo,178.996107,0.067292,24.794113159179688,23.677898406982422,23.516725540161133,23.865684509277344,23.093400955200195,23.19024658203125,22.647794723510742,10.0,1.0,1.0,1.0,0.0
cosmo,178.971924,0.069959,24.52126693725586,24.11447525024414,24.302656173706055,24.960464477539062,23.40275001525879,22.302730560302734,22.193248748779297,10.0,1.0,1.0,1.0,0.0
cosmo,178.912924,0.077254,24.288654327392578,23.28443717956543,23.22037696838379,22.885963439941406,22.850749969482422,23.612754821777344,nan,10.0,1.0,1.0,1.0,0.0
cosmo,178.904586,0.078317,24.363393783569336,23.79397201538086,23.91104507446289,23.54218864440918,23.1571102142334,22.56864356994629,22.646747589111328,10.0,1.0,1.0,1.0,0.0
cosmo,178.980401,-0.08046,23.59115219116211,23.614486694335938,23.59357452392578,23.47051239013672,23.416990280151367,22.56723976135254,22.579349517822266,10.0,1.0,3.0,1.0,0.0
cosmo,178.980183,-0.062247,23.751291275024414,23.607391357421875,23.39668846130371,23.653926849365234,23.120527267456055,22.275793075561523,21.577856063842773,10.0,1.0,3.0,1.0,0.0
cosmo,178.981999,-0.052217,23.411598205566406,23.440723419189453,23.202146530151367,22.913970947265625,22.39603042602539,22.242626190185547,21.70275115966797,10.0,1.0,3.0,1.0,0.0
cosmo,178.973016,-0.047124,23.75929832458496,23.744773864746094,23.526226043701172,23.368896484375,22.73602294921875,22.543989181518555,22.926454544067383,10.0,1.0,3.0,1.0,0.0
cosmo,178.981261,-0.030124,23.874845504760742,23.512758255004883,23.258281707763672,22.999385833740234,22.653181076049805,21.808837890625,21.6386775970459,10.0,1.0,3.0,1.0,0.0
cosmo,178.930799,0.035674,24.214786529541016,23.868139266967773,23.602155685424805,23.328908920288086,23.2061767578125,22.97545623779297,23.073698043823242,10.0,1.0,3.0,1.0,0.0
cosmo,178.993569,0.038003,23.688711166381836,23.771146774291992,23.563199996948242,24.09473419189453,23.65279197692871,23.356224060058594,22.79176902770996,10.0,1.0,3.0,1.0,0.0
cosmo,178.928553,0.038252,23.49806022644043,23.54796028137207,23.50222396850586,23.31670379638672,22.996362686157227,22.353248596191406,22.751693725585938,10.0,1.0,3.0,1.0,0.0
cosmo,178.958257,0.050577,23.90334129333496,23.975528717041016,23.695327758789062,23.52289581298828,22.90449333190918,22.840179443359375,22.843305587768555,10.0,1.0,3.0,1.0,0.0
cosmo,178.971112,0.062085,24.177743911743164,23.962669372558594,23.666259765625,23.443008422851562,22.997650146484375,22.261844635009766,21.902820587158203,10.0,1.0,3.0,1.0,0.0
cosmo,178.916526,0.06877,24.167306900024414,23.763338088989258,23.595966339111328,23.48124885559082,24.025484085083008,22.700641632080078,23.27250862121582,10.0,1.0,3.0,1.0,0.0
cosmo,178.97282,0.078357,24.076641082763672,23.916196823120117,23.709102630615234,23.950822830200195,23.628021240234375,23.341604232788086,22.966567993164062,10.0,1.0,3.0,1.0,0.0
cosmo,178.97303,0.083474,23.814863204956055,23.773212432861328,23.658321380615234,23.379867553710938,22.79377555847168,22.499820709228516,25.284116744995117,10.0,1.0,3.0,1.0,0.0
cosmo,178.981652,0.084384,23.3797550201416,23.811594009399414,23.704864501953125,23.51375961303711,22.987279891967773,22.934968948364258,22.936481475830078,10.0,1.0,3.0,1.0,0.0
cosmo,178.98078,0.098586,23.808605194091797,23.34583854675293,23.218019485473633,23.095909118652344,22.853763580322266,22.27790069580078,23.293140411376953,10.0,1.0,3.0,1.0,0.0
