PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.19353,-0.943655,23.732925415039062,23.732925415039062,23.732925415039062,23.732925415039062,23.732925415039062,23.732925415039062,23.732925415039062,1.0,1.0,1.0,1.0,0.0
cosmo,178.250092,-0.943611,24.060100555419922,24.060100555419922,24.060100555419922,24.060100555419922,24.060100555419922,24.060100555419922,24.060100555419922,1.0,1.0,1.0,1.0,0.0
cosmo,178.362757,-0.943426,24.320148468017578,24.320148468017578,24.320148468017578,24.320148468017578,24.320148468017578,24.320148468017578,24.320148468017578,1.0,1.0,1.0,1.0,0.0
cosmo,178.364863,-0.942976,23.56256866455078,23.56256866455078,23.56256866455078,23.56256866455078,23.56256866455078,23.56256866455078,23.56256866455078,1.0,1.0,1.0,1.0,0.0
cosmo,178.478578,-0.942626,23.86530113220215,23.86530113220215,23.86530113220215,23.86530113220215,23.86530113220215,23.86530113220215,23.86530113220215,1.0,1.0,1.0,1.0,0.0
cosmo,178.021951,-0.942247,23.153560638427734,23.153560638427734,23.153560638427734,23.153560638427734,23.153560638427734,23.153560638427734,23.153560638427734,1.0,1.0,1.0,1.0,0.0
cosmo,178.436205,-0.94172,24.087207794189453,24.087207794189453,24.087207794189453,24.087207794189453,24.087207794189453,24.087207794189453,24.087207794189453,1.0,1.0,1.0,1.0,0.0
cosmo,178.483435,-0.941682,23.596174240112305,23.596174240112305,23.596174240112305,23.596174240112305,23.596174240112305,23.596174240112305,23.596174240112305,1.0,1.0,1.0,1.0,0.0
cosmo,178.24697,-0.941478,24.075586318969727,24.075586318969727,24.075586318969727,24.075586318969727,24.075586318969727,24.075586318969727,24.075586318969727,1.0,1.0,1.0,1.0,0.0
cosmo,178.47663,-0.939825,23.60371971130371,23.60371971130371,23.60371971130371,23.60371971130371,23.60371971130371,23.60371971130371,23.60371971130371,1.0,1.0,1.0,1.0,0.0
cosmo,178.072008,-0.939117,23.193092346191406,23.193092346191406,23.193092346191406,23.193092346191406,23.193092346191406,23.193092346191406,23.193092346191406,1.0,1.0,1.0,1.0,0.0
cosmo,178.255635,-0.938339,24.408111572265625,24.408111572265625,24.408111572265625,24.408111572265625,24.408111572265625,24.408111572265625,24.408111572265625,1.0,1.0,1.0,1.0,0.0
cosmo,178.208302,-0.938223,24.412717819213867,24.412717819213867,24.412717819213867,24.412717819213867,24.412717819213867,24.412717819213867,24.412717819213867,1.0,1.0,1.0,1.0,0.0
