PID,RAJ2000,DECJ2000,spectro,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone,xpos,ypos,fov
cosmo_lbg,178.098232,-0.966944,LR,24.43768310546875,24.050395965576172,24.14679527282715,23.506948471069336,24.003833770751953,22.338186264038086,22.517967224121094,1.0,1.0,6.0,1.0,0.0,3135.796951424452,-3511.282697731305,0
cosmo_lbg,178.218273,-0.964333,LR,24.948944091796875,23.910526275634766,24.11346435546875,24.602954864501953,23.163415908813477,23.53330421447754,22.893131256103516,1.0,1.0,6.0,1.0,0.0,2703.5615396562034,-3501.7763202093065,0
cosmo_lbg,178.218162,-0.964135,LR,25.448965072631836,24.16999053955078,24.1748046875,24.375286102294922,23.161216735839844,25.423503875732422,22.843032836914062,1.0,1.0,4.0,1.0,0.0,2703.961207946215,-3501.0633417556614,0
cosmo_lbg,178.450855,-0.963312,LR,25.441720962524414,24.16526985168457,23.924518585205078,23.984647750854492,23.301828384399414,22.630348205566406,22.15909194946289,1.0,1.0,1.0,1.0,0.0,1866.160416109146,-3497.94338174999,0
cosmo_lbg,178.438849,-0.961978,LR,25.025163650512695,24.03435707092285,23.8725528717041,23.445993423461914,23.58026885986328,23.32352638244629,24.326841354370117,1.0,1.0,9.0,1.0,0.0,1909.3857347839346,-3493.1460484733598,0
cosmo_lbg,178.436205,-0.96189,LR,25.316394805908203,24.11042022705078,23.883007049560547,23.47346305847168,23.35190773010254,23.626850128173828,22.28285789489746,1.0,1.0,9.0,1.0,0.0,1918.9049770698705,-3492.830627175754,0
cosmo_lbg,178.091867,-0.95971,LR,24.045408248901367,23.986644744873047,23.98834800720215,23.346452713012695,23.031391143798828,22.387773513793945,22.87362289428711,1.0,1.0,1.0,1.0,0.0,3158.7162846988476,-3485.2356558768956,0
cosmo_lbg,178.073259,-0.959032,LR,25.42072868347168,24.4749755859375,24.381671905517578,nan,23.957786560058594,nan,22.870956420898438,1.0,1.0,2.0,1.0,0.0,3225.721286159947,-3482.811230363696,0
cosmo_lbg,178.193117,-0.95893,LR,24.949016571044922,24.0015811920166,23.905841827392578,23.592044830322266,23.295610427856445,22.313079833984375,22.743209838867188,1.0,1.0,7.0,1.0,0.0,2794.1394067127853,-3482.3384778207515,0
cosmo_lbg,178.058805,-0.958664,LR,24.62009048461914,24.11014747619629,24.152769088745117,24.45983123779297,24.249488830566406,22.69368553161621,22.26529312133789,1.0,1.0,4.0,1.0,0.0,3277.768740952352,-3481.499619289184,0
cosmo_lbg,178.423861,-0.958445,LR,24.4622802734375,24.184526443481445,24.200422286987305,24.803171157836914,23.674772262573242,23.028841018676758,22.143613815307617,1.0,1.0,6.0,1.0,0.0,1963.3474032959373,-3480.4315436725483,0
cosmo_lbg,178.180061,-0.956876,LR,23.917743682861328,23.670602798461914,23.811962127685547,23.329708099365234,23.366975784301758,22.608217239379883,22.459632873535156,1.0,1.0,7.0,1.0,0.0,2841.1498762065867,-3474.9520212200714,0
cosmo_lbg,178.298986,-0.956706,LR,24.250797271728516,24.179798126220703,24.192291259765625,24.282630920410156,23.17300033569336,22.539274215698242,22.336517333984375,1.0,1.0,4.0,1.0,0.0,2412.949244510915,-3474.248724571452,0
cosmo_lbg,178.017738,-0.954711,LR,24.642210006713867,23.85791015625,23.95637321472168,24.28290557861328,23.590917587280273,22.84630012512207,23.872303009033203,1.0,1.0,9.0,1.0,0.0,3425.649306433412,-3467.303024492086,0
cosmo_lbg,178.175792,-0.954438,LR,24.974292755126953,24.0177001953125,24.03999137878418,23.774574279785156,24.722993850708008,22.29602813720703,22.695337295532227,1.0,1.0,8.0,1.0,0.0,2856.5212273809148,-3466.175440649134,0
cosmo_lbg,178.461549,-0.954239,LR,25.40287971496582,24.36997413635254,24.230438232421875,24.464237213134766,24.14397621154785,23.33340835571289,22.501802444458008,1.0,1.0,8.0,1.0,0.0,1827.6587947921237,-3465.2641973706714,0
cosmo_lbg,178.200285,-0.952825,LR,24.93732452392578,24.339935302734375,24.411996841430664,24.23932456970215,24.530698776245117,22.78276252746582,22.944732666015625,1.0,1.0,2.0,1.0,0.0,2768.3298106323064,-3460.3464496027336,0
cosmo_lbg,178.199614,-0.952841,LR,25.28028678894043,24.335359573364258,24.29234504699707,23.743040084838867,22.90061378479004,23.92426872253418,23.108139038085938,1.0,1.0,8.0,1.0,0.0,2770.745852023965,-3460.4046104924087,0
cosmo_lbg,178.215632,-0.950218,LR,25.404010772705078,24.468442916870117,24.413955688476562,23.8880615234375,23.272403717041016,22.28614044189453,21.710294723510742,1.0,1.0,3.0,1.0,0.0,2713.070706066188,-3450.9455933146946,0
cosmo_lbg,178.388134,-0.949439,LR,23.315921783447266,23.309947967529297,23.3874454498291,22.686885833740234,22.662275314331055,22.09502410888672,22.415294647216797,1.0,1.0,9.0,1.0,0.0,2091.9772989820212,-3448.0202845035037,0
cosmo_lbg,178.442237,-0.949384,LR,24.374595642089844,24.13205337524414,24.19923973083496,23.850135803222656,24.090225219726562,22.467247009277344,22.693492889404297,1.0,1.0,8.0,1.0,0.0,1897.1878070788434,-3447.7910063156223,0
cosmo_lbg,178.052568,-0.94912,LR,24.609390258789062,23.8116512298584,23.796825408935547,23.578275680541992,23.834381103515625,24.463836669921875,23.54312515258789,1.0,1.0,9.0,1.0,0.0,3300.2276251928774,-3447.1331225461136,0
cosmo_lbg,178.482828,-0.946855,LR,25.64009666442871,24.453514099121094,24.192197799682617,23.92814064025879,23.031787872314453,23.906089782714844,23.411365509033203,1.0,1.0,2.0,1.0,0.0,1751.0484130829595,-3438.6623253475805,0
cosmo_lbg,178.130741,-0.944005,LR,25.17533302307129,23.56232261657715,23.113792419433594,22.98392677307129,23.05556869506836,22.42169761657715,21.937028884887695,1.0,1.0,3.0,1.0,0.0,3018.7380422490874,-3428.6406124475366,0
