wave targetflux
385.9481290741147 7.63440935018142e-19
386.03579854480097 7.641478000629778e-19
386.1234523706525 7.648494424744352e-19
386.2110905544611 7.655375032944097e-19
386.2987130990182 7.662254410821334e-19
386.3863200071146 7.669136630251475e-19
386.47391128154067 7.676015339846402e-19
386.5614869250863 7.682890533640486e-19
386.6490469405408 7.6897622205661585e-19
386.7365913306931 7.696630363781744e-19
386.82412009833155 7.703494971452552e-19
386.9116332462441 7.710356068536243e-19
386.999130777218 7.71721364977321e-19
387.0866126940402 7.724067690184079e-19
387.17407899949706 7.730918205179447e-19
387.26152969637457 7.737765213039542e-19
387.34896478745793 7.744608659746565e-19
387.43638427553225 7.751448603672283e-19
387.5237881633817 7.758284991030465e-19
387.6111764537904 7.765117841355959e-19
387.69854914954163 7.771947186952728e-19
387.78590625341826 7.778772975462774e-19
387.87324776820276 7.785595255857251e-19
387.96057369667705 7.792413973454588e-19
388.0478840416225 7.799229175046944e-19
388.13517880582015 7.806040833456378e-19
388.22245799205024 7.812848936956464e-19
388.30972160309284 7.819653531533478e-19
388.3969696417273 7.826454553878268e-19
388.48420211073255 7.833252047289291e-19
388.57141901288713 7.840046012272425e-19
388.6586203509689 7.846836429049927e-19
388.7458061277553 7.853623287910869e-19
388.8329763460233 7.859047090335807e-19
388.9201310085494 7.862233749237611e-19
389.00727011810943 7.8654174552978e-19
389.09439367747905 7.868598201209425e-19
389.18150168943305 7.871776012676482e-19
389.268594156746 7.874950896015609e-19
389.3556710821919 7.87812284416487e-19
389.44273246854425 7.881291866922033e-19
389.5297783185759 7.884457958987684e-19
389.61680863505944 7.8876211337223975e-19
389.70382342076687 7.890781368273338e-19
389.7908226784697 7.893938695729598e-19
389.8778064109389 7.897093090435727e-19
389.96477462094504 7.900244581914637e-19
390.0517273112581 7.903079776382471e-19
390.1386685387853 7.905698677776369e-19
390.22559851207933 7.908314572539119e-19
390.3125172325972 7.910927509242541e-19
390.3994247017955 7.913531243006259e-19
390.48632092113064 7.916148982942401e-19
390.57320589205887 7.918797001307825e-19
390.6600796160363 7.921492910308176e-19
390.7469420945187 7.924239271193562e-19
390.8337933289619 7.926802542833723e-19
390.92063332082137 7.929267339996908e-19
391.00746207155237 7.931922758726224e-19
391.09427958261006 7.934585383222953e-19
391.1810858554494 7.937083172112227e-19
391.267880891525 7.939673853079011e-19
391.3546646922916 7.9424261737603045e-19
391.44143725920344 7.945068479833053e-19
391.52819859371476 7.947620866307795e-19
391.61494869727954 7.95018962087809e-19
391.7016875713516 7.952755443221282e-19
391.78841521738457 7.955318342824207e-19
391.8751316368319 7.957878304028571e-19
391.96183683114674 7.960435352617322e-19
392.0485308017822 7.962989472680367e-19
392.1352135501911 7.965540690958355e-19
392.2218850778262 7.968088985680629e-19
392.30854538614 7.970634351733748e-19
392.39519447658466 7.973176820865493e-19
392.4818323506124 7.975716383871451e-19
392.56845900967517 7.97825304846259e-19
392.6550744552247 7.980786816294114e-19
392.7416786887124 7.983317659283097e-19
392.82827171158976 7.98584562429812e-19
392.914853525308 7.9883706966310195e-19
393.001424131318 7.990892870906283e-19
393.08798353107056 7.993412163828387e-19
393.1745317260164 7.995928571270686e-19
393.26106871760584 7.998442096074159e-19
393.34759450728916 8.000952756961315e-19
393.43410909651635 8.003460517885701e-19
393.5206124867373 8.005965412007861e-19
393.6071046794017 8.00846745159061e-19
393.69358567595907 8.010966601914365e-19
393.7800554778586 8.013462886146518e-19
393.8665140865495 8.015956321377316e-19
393.95296150348065 8.018446901288406e-19
394.03939773010075 8.020934603219643e-19
394.1258227678584 8.02341945913336e-19
394.2122366182019 8.02590147292931e-19
394.29863928257953 8.028380626294512e-19
394.38503076243916 8.030856935249436e-19
394.4714110592286 8.03333041200497e-19
394.55778017439553 8.035801035255046e-19
394.6441381093873 8.038268820171123e-19
394.7304848656512 8.040733787511627e-19
394.81682044463423 8.043195900996855e-19
394.90314484778327 8.045655185974734e-19
394.989458076545 8.048111660748021e-19
395.0757601323659 8.050816073598309e-19
395.16205101669226 8.05355267302181e-19
395.24833073097017 8.056286560047946e-19
395.3345992766456 8.059017718871948e-19
395.42085665516424 8.061746202402578e-19
395.50710286797164 8.064471954780535e-19
395.59333791651324 8.0671950054819865e-19
395.67956180223416 8.069915369138717e-19
395.7657745265793 8.072633028283976e-19
395.8519760909936 8.075347994989202e-19
395.93816649692167 8.078060263389829e-19
396.02434574580786 8.080769837046399e-19
396.11051383909637 8.083476734688676e-19
396.19667077823135 8.086180948303758e-19
396.2828165646566 8.088882470940604e-19
396.3689511998159 8.091581300210103e-19
396.4550746851527 8.09427744682795e-19
396.5411870221102 8.096920556878821e-19
396.6272882121316 8.09960719337894e-19
396.71337825665984 8.102349908867543e-19
396.7994571571377 8.105035389456983e-19
396.8855249150076 8.107342526422573e-19
396.97158153171205 8.110397798893989e-19
397.0576270086932 8.112789357815181e-19
397.143661347393 8.115750632930739e-19
397.22968454925325 8.117885044390339e-19
397.31569661571564 8.121083822132563e-19
397.40169754822165 8.123702484436899e-19
397.48768734821243 8.126073361083573e-19
397.5736660171291 8.129083598891966e-19
397.6596335564125 8.131743825443999e-19
397.7455899675033 8.134400088688929e-19
397.83153525184207 8.137053717544611e-19
397.9174694108691 8.139659015402528e-19
398.0033924460246 8.142353069474818e-19
398.08930435874834 8.144840736474113e-19
398.1752051504802 8.147641333921259e-19
398.2610948226598 8.150272127789449e-19
398.3469733767264 8.152919924008162e-19
398.4328408141193 8.155379069043283e-19
398.5186971362774 8.158164918640713e-19
398.6045423446397 8.160817928419942e-19
398.6903764406447 8.163445273126216e-19
398.77619942573085 8.165899568012193e-19
398.86201130133657 8.168555284049898e-19
398.94781206889974 8.171309308673543e-19
399.0336017298584 8.1739239238452e-19
399.1193802856502 8.17651370658982e-19
399.20514773771276 8.179154546742937e-19
399.29090733347016 8.181609308184877e-19
399.37666259319747 8.18436982975871e-19
399.4624135171139 8.186974979699781e-19
399.5481601054386 8.189570968476512e-19
399.63390235839097 8.192176480698347e-19
399.71964027619003 8.194273126514982e-19
