wave skycount targetcount
3796.8343424041127 2.079160280221873e-06 1.371592050136061e-07
3797.722216614491 2.0976861898671835e-06 1.3731641456995503e-07
3798.609932381512 2.158749266949469e-06 1.374743464016994e-07
3799.497489733449 2.135005489806147e-06 1.3763354328202019e-07
3800.384888698573 2.1536490049786605e-06 1.377904613351949e-07
3801.2721293051472 2.172152709314982e-06 1.3794222823265071e-07
3802.159211581432 2.190717752947326e-06 1.3809479014053994e-07
3803.0461355556813 2.209379293552967e-06 1.382494193598809e-07
3803.9329012561448 2.2281715802844747e-06 1.3840457111194592e-07
3804.8195087110666 2.247038667716463e-06 1.3855927880824116e-07
3805.7059579486863 2.26578024901724e-06 1.3871224722977945e-07
3806.592248997238 2.2664763448822098e-06 1.388650057037346e-07
3807.478381884951 2.252879086067034e-06 1.3902364035565866e-07
3808.3643566400497 2.23933718183092e-06 1.3918204559772287e-07
3809.2501732907526 2.2255670408538132e-06 1.393377751106098e-07
3810.1358318652747 2.211854677213575e-06 1.3949590935431805e-07
3811.021332391824 2.1981645742128344e-06 1.3965469304462422e-07
3811.9066748986056 2.1842223942201184e-06 1.3981049970636173e-07
3812.791859413818 2.170341380340376e-06 1.3996765146132266e-07
3813.6768859656554 2.3785350005113475e-06 1.4012710045223345e-07
3814.5617545823065 2.7328224695014672e-06 1.4028662643580047e-07
3815.4464652919555 2.1288200968598616e-06 1.4044623439829817e-07
3816.331018122781 2.109276247850319e-06 1.4060573033161018e-07
3817.2154131029574 2.0737411644748005e-06 1.4076525090329974e-07
3818.099650260653 2.882142818629172e-06 1.4092472520280352e-07
3818.983729624032 2.002596831648984e-06 1.4108419853366207e-07
3819.867651221253 1.9668830726664694e-06 1.4124342959470126e-07
3820.7514150804695 2.3026939975617435e-06 1.414021232277451e-07
3821.6350212298307 2.664048249713853e-06 1.415588367550277e-07
3822.5184696974798 1.9648060890556164e-06 1.4171419262049592e-07
3823.401760511556 1.8227328538647753e-06 1.418728768708125e-07
3824.2848937001927 2.253451041585482e-06 1.420322942401257e-07
3825.1678692915184 2.4778845952498287e-06 1.4219084252519713e-07
3826.050687313657 1.7136608531036374e-06 1.4234733044895894e-07
3826.933347794727 1.6997671822077575e-06 1.4250256911434263e-07
3827.8158507628423 1.6872521453720102e-06 1.4266069954408513e-07
3828.698196246111 1.6746026436243075e-06 1.4281813215736284e-07
3829.580384272637 1.9795349961409253e-06 1.4297240052556016e-07
3830.4624148705184 1.6492276457323545e-06 1.4312662941634426e-07
3831.3442880678494 1.8035185089353886e-06 1.4328101245313223e-07
3832.2260038927184 1.6541573761983801e-06 1.4343550171347637e-07
3833.1075623732086 2.9756894697333577e-06 1.4358992297762053e-07
3833.9889635373984 2.8178829695742664e-06 1.4374415954041008e-07
3834.8702074133616 1.5850215245201403e-06 1.4389837333372022e-07
3835.7512940291667 1.5721000059443493e-06 1.4405259570519835e-07
3836.632223412877 1.5893578126518402e-06 1.44206777859943e-07
3837.512995592551 1.626373932222546e-06 1.4436071325631685e-07
3838.3936105962416 1.663467564048851e-06 1.4451434845640264e-07
3839.274068451998 2.0204039775102184e-06 1.446656134070153e-07
