lamA thr
15370.0 0.96
15380.0 0.96
15390.0 0.96
15400.0 0.96
15410.0 0.96
15420.0 0.96
15430.0 0.96
15440.0 0.96
15450.0 0.96
15460.0 0.96
15470.0 0.96
15480.0 0.96
15490.0 0.96
15500.0 0.96
15510.0 0.96
15520.0 0.96
15530.0 0.96
15540.0 0.96
15550.0 0.96
15560.0 0.96
15570.0 0.96
15580.0 0.96
15590.0 0.96
15600.0 0.96
15610.0 0.96
15620.0 0.96
15630.0 0.96
15640.0 0.96
15650.0 0.96
15660.0 0.96
15670.0 0.96
15680.0 0.96
15690.0 0.96
15700.0 0.96
15710.0 0.96
15720.0 0.96
15730.0 0.96
15740.0 0.96
15750.0 0.96
15760.0 0.96
15770.0 0.96
15780.0 0.96
15790.0 0.96
15800.0 0.96
15810.0 0.96
15820.0 0.96
15830.0 0.96
15840.0 0.96
15850.0 0.96
15860.0 0.96
15870.0 0.96
15880.0 0.96
15890.0 0.96
15900.0 0.96
15910.0 0.96
15920.0 0.96
15930.0 0.96
15940.0 0.96
15950.0 0.96
15960.0 0.96
15970.0 0.96
15980.0 0.96
15990.0 0.96
16000.0 0.96
16010.0 0.96
16020.0 0.96
16030.0 0.96
16040.0 0.96
16050.0 0.96
16060.0 0.96
16070.0 0.96
16080.0 0.96
16090.0 0.96
16100.0 0.96
16110.0 0.96
16120.0 0.96
16130.0 0.96
16140.0 0.96
16150.0 0.96
16160.0 0.96
16170.0 0.96
16180.0 0.96
16190.0 0.96
16200.0 0.96
16210.0 0.96
16220.0 0.96
16230.0 0.96
16240.0 0.96
16250.0 0.96
16260.0 0.96
16270.0 0.96
16280.0 0.96
16290.0 0.96
16300.0 0.96
16310.0 0.96
16320.0 0.96
16330.0 0.96
16340.0 0.96
16350.0 0.96
16360.0 0.96
16370.0 0.96
16380.0 0.96
16390.0 0.96
16400.0 0.96
16410.0 0.96
16420.0 0.96
16430.0 0.96
16440.0 0.96
16450.0 0.96
16460.0 0.96
16470.0 0.96
16480.0 0.96
16490.0 0.96
16500.0 0.96
16510.0 0.96
16520.0 0.96
16530.0 0.96
16540.0 0.96
16550.0 0.96
16560.0 0.96
16570.0 0.96
16580.0 0.96
16590.0 0.96
16600.0 0.96
16610.0 0.96
16620.0 0.96
16630.0 0.96
16640.0 0.96
16650.0 0.96
16660.0 0.96
16670.0 0.96
16680.0 0.96
16690.0 0.96
16700.0 0.96
16710.0 0.96
16720.0 0.96
16730.0 0.96
16740.0 0.96
16750.0 0.96
16760.0 0.96
16770.0 0.96
16780.0 0.96
16790.0 0.96
16800.0 0.96
16810.0 0.96
16820.0 0.96
16830.0 0.96
16840.0 0.96
16850.0 0.96
16860.0 0.96
16870.0 0.96
16880.0 0.96
16890.0 0.96
16900.0 0.96
16910.0 0.96
16920.0 0.96
16930.0 0.96
16940.0 0.96
16950.0 0.96
16960.0 0.96
16970.0 0.96
16980.0 0.96
16990.0 0.96
17000.0 0.96
17010.0 0.96
