
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 30.341249 62.452105      1.0    1.0 
 30.256322 62.452327      1.0    1.0 
 30.203722 62.450709      1.0    1.0 
 29.603671 62.318574      1.0    1.0 
 29.424504 62.198938      1.0    1.0 
  29.34477 62.084209      1.0    1.0 
 30.086954 62.446965      1.0    1.0 
 29.329157  62.04869      1.0    1.0 
 29.399811 61.822129      1.0    1.0 
 29.372323 61.855061      1.0    1.0 
 29.365174 61.864119      1.0    1.0 
 29.331341 61.929403      1.0    1.0 
 29.438296 62.227582      1.0    1.0 
 29.373391 61.841808      1.0    1.0 
 29.314227 61.965783      1.0    1.0 
 30.053691 62.450056      1.0    1.0 
 29.490897 62.269824      1.0    1.0 
 29.324147 62.081539      1.0    1.0 
 29.319119 61.937323      1.0    1.0 
 29.407751 61.800174      1.0    1.0 
 29.309027 62.033259      1.0    1.0 
 29.326169 61.908178      1.0    1.0 
 29.343262 62.136026      1.0    1.0 
 29.354721 61.852379      1.0    1.0 
 29.353227 61.854192      1.0    1.0 
 29.413951 61.782631      1.0    1.0 
 29.329066 62.124063      1.0    1.0 
 29.497028 62.286065      1.0    1.0 
 29.624764 62.351342      1.0    1.0 
 30.371709 62.471208      1.0    1.0 
 30.435376 62.468354      1.0    1.0 
 30.043829 62.457308      1.0    1.0 
 29.295952 61.966858      1.0    1.0 
 29.751642 62.397712      1.0    1.0 
 29.938857 62.442567      1.0    1.0 
 29.302629 62.074179      1.0    1.0 
 30.373242 62.472871      1.0    1.0 
 29.293544 61.963359      1.0    1.0 
 29.304725 61.916355      1.0    1.0 
 29.959399 62.448292      1.0    1.0 
 30.206699 62.474419      1.0    1.0 
 29.910698  62.44078      1.0    1.0 
 30.096056 62.467471      1.0    1.0 
 30.441361 62.472639      1.0    1.0 
 29.379441 62.206912      1.0    1.0 
 29.381074 61.797424      1.0    1.0 
 29.472942 62.284135      1.0    1.0 
 29.616671 62.358574      1.0    1.0 
 30.001487 62.460661      1.0    1.0 
 29.275798 62.031068      1.0    1.0 
 29.307064 61.882079      1.0    1.0 
 29.953359  62.45385      1.0    1.0 
 29.278505 62.053374      1.0    1.0 
 29.272983 62.018124      1.0    1.0 
 29.382694 62.222286      1.0    1.0 
 29.326459 62.161566      1.0    1.0 
 29.278126 62.067062      1.0    1.0 
 29.674687 62.388279      1.0    1.0 
 30.134163 62.480056      1.0    1.0 
 29.324963 62.167472      1.0    1.0 
 30.022769 62.469522      1.0    1.0 
 30.402184 62.485355      1.0    1.0 
 29.270858 61.932562      1.0    1.0 
 29.293839 61.872969      1.0    1.0 
 29.881497 62.449701      1.0    1.0 
 30.426524 62.488038      1.0    1.0 
 29.257149 62.051058      1.0    1.0 
 30.383388 62.490815      1.0    1.0 
 30.233721 62.492058      1.0    1.0 
 29.255948 61.946778      1.0    1.0 
 29.305641 62.163602      1.0    1.0 
 29.309889 62.170126      1.0    1.0 
 30.288326 62.494474      1.0    1.0 
 29.537752 62.343434      1.0    1.0 
 29.258331 61.928751      1.0    1.0 
 29.885462 62.455553      1.0    1.0 
 29.266748 62.105704      1.0    1.0 
 29.245213 61.968307      1.0    1.0 
 29.346416 62.219321      1.0    1.0 
 29.245641 62.050638      1.0    1.0 
 30.196803 62.495056      1.0    1.0 
 29.613071 62.380564      1.0    1.0 
 29.758789 62.429201      1.0    1.0 
 29.880013 62.459317      1.0    1.0 
 29.683749 62.408288      1.0    1.0 
 29.529298 62.347346      1.0    1.0 
 29.309739 62.190092      1.0    1.0 
 30.107566 62.492907      1.0    1.0 
 30.351829 62.500516      1.0    1.0 
 30.376858 62.500043      1.0    1.0 
 30.141008 62.495848      1.0    1.0 
 29.309314 61.816057      1.0    1.0 
 30.076898 62.491229      1.0    1.0 
 29.230324 62.028313      1.0    1.0 
 29.330141 61.789715      1.0    1.0 
 30.473293 62.497103      1.0    1.0 
 30.364563 62.503795      1.0    1.0 
 29.240152  62.09004      1.0    1.0 
 30.446271 62.501725      1.0    1.0 
 29.244365 62.110251      1.0    1.0 
  30.27607 62.506858      1.0    1.0 
  29.26466 62.148665      1.0    1.0 
 30.415117 62.506013      1.0    1.0 
 29.798193 62.453032      1.0    1.0 
 30.408802 62.511226      1.0    1.0 
 29.747464 62.445304      1.0    1.0 
